"Index","Text","Bold","Underline","Color","Highlight"
"100","c. :last-child","True","False","","yellow"
"101","d. :Cả 2,b,c đều sai","False","False","",""
"102","21. Để kiểm tra nếu biến “i” không bằng 5, câu lệnh nào là đúng?","True","False","FF0000",""
"103","a. if (i != 5)","True","False","","yellow"
"104","b. if (i <> 5)","False","False","",""
"105","c. if I <> 5","True","False","","none"
"106","d. if i !=5 then","False","False","",""
"107","22. Hàm alert(...) trong JavaScript dùng để làm gì?","True","False","FF0000",""
"108","a. Hiển thị một thông báo Yes, No","False","False","",""
"109","b. Hiển thị thông báo yêu cầu nhập thông tin","False","False","",""
"110","c. Hiển thị một thông báo","True","False","","yellow"
"111","d. Không phương án nào đúng","False","False","",""
"112","23. Đâu là kết quả của phép tính sau 2+6+'3'","True","False","FF0000",""
"113","a. 83","False","False","",""
"114","b. '83'","True","False","","yellow"
"115","c. 11","False","False","",""
"116","d. '11'","False","False","",""
"117","24. Trong JavaScript biểu thức x===y có nghĩa là:","True","False","FF0000",""
"118","a. Cả x và y đều bằng nhau về giá trị, kiểu và địa chỉ tham chiếu.","False","False","",""
"119","b. Cả hai đều là x và y chỉ bằng nhau về giá trị.","False","False","",""
"120","c. Cả hai đều bằng nhau về giá trị và kiểu dữ liệu.","True","False","","yellow"
"121","d. Cả hai đều không giống nhau chút nào.","False","False","",""
"122","25. Trong JavaScript sự kiện Onblur thực hiện khi nào?","True","False","FF0000",""
"123","a. Khi di chuyển con chuột qua form","False","False","",""
"124","b. Khi một đối tượng trong form mất focus","True","False","FF0000","yellow"
"125","c. Khi một đối tượng trong form nhận focus","False","False","",""
"126","d. Khi di chuyển con chuột vào nút lệnh","False","False","",""
"127","26. Hàm nào trong JavaScript được sử dụng để chọn tất cả các đối tượng có class=“selector”?","True","False","FF0000",""
"128","a. querySelectorAll()","True","False","FF0000","yellow"
"129","b. querySelector()","False","False","",""
"130","c. getElementByClass()","False","False","",""
"131","d. Cả a,b,c đều sai","False","False","",""
"132","27. Cách khai báo mảng nào trong javascript là đúng?","True","False","FF0000",""
"133","a. var colors = 1:(""red""), 2:(""green""), 3 = (""blue"")","False","False","",""
"134","b. var colors = (1:""red"", 2:""green"", 3:""blue"")","False","False","",""
"135","c. var colors = [""red"", ""green"", ""blue""]","True","False","FF0000","yellow"
"136","d. var colors = ""red"", ""green"", ""blue""","False","False","",""
"137","28. Để truy cập, lấy giá trị phần tử trong form có id=n ra biến x, mã javascript là","True","False","FF0000",""
"138","a. x = document.getElementById(n);","False","False","",""
"139","b. x = document.getElementById('n').value;","True","False","FF0000","yellow"
"140","c. x = document.frm.n.value();","False","False","",""
"141","d. x = document.frm.n.value;","False","False","",""
"142","29. Cho mảng arr = ['aa','bb','cc','dd']; để xóa ‘aa’, ‘bb’ và ‘cc’ mã javascript là:a. arr.splice(0,1);b. arr.splice(0,2);c. arr.splice(1,3);d. arr.splice(1,2);","True","False","FF0000","none"
"143","e. Arr.splice(0,3); (trên đáp án ko có nhé)","True","False","","yellow"
"144","30. Để ẩn phần tử có id=txt, mã javascript là:a. document.getElementById('txt').display = 'none';b. document.getElementById('txt').style.display = 'none'; c. document.getElementById('txt').css.display = 'none';d. document.getElementById('txt').style.display = 'hide';","True","False","FF0000","yellow"
"145","31. Để đổi kích thước chữ của phần tử có id=txt thành 60px, mã javascript là:a. document.getElementById('txt').style.fontSize = '60px'; b. document.getElementById('txt').css.fontSize = '60px';c. document.getElementById('txt').style.Size = '60px';d. document.getElementById('txt').fontSize = '60px';","True","True","FF0000","yellow"
"146","32. Để xóa phần tử thứ 1 có class là class1 bằng jQuery là:a. $('#class1')[0].remove();b. $('.class1')[0].remove();c. $('#class1')[1].remove(); d. $('.class1')[1].remove();","True","False","FF0000","none"
"147","33. Tìm phần tử thứ 2 <p> và thay đổi giá trị của phần tử đó thành ""Hello"", mã javascript là:a. document.getElementsByName('p')[0].innerHTML = 'Hello';b. document.getElementsByName('p')[1].innerHTML = 'Hello';c. document.getElementsByTagName('p')[1].innerText = 'Hello'; d. document.getElementsByTagName('p')[1].innerHTML = 'Hello';","True","False","","yellow"
"148","34. Để đổi màu chữ của phần tử có name='n' thành 'red', mã javascript là:a. document.getElementsByName('n').color='red';b. document.getElementsByName('n').add.color='red';c. document.getElementsByName('n').css.color='red'; d. document.getElementsByName('n').style.color='red';","True","False","","yellow"
"149","35. Để lấy giá trị tên thuộc tính đầu tiên của phần tử (nút) Button thứ 1 ra biến a, mã javascript là:a. a = document.getElementsByName(""BUTTON"")[0].attributes[0].name; b. a = document.getElementsByName(""BUTTON"")[0].attributes[1].name;c. a = document.getElementsByTagName(""BUTTON"")[0].attributes[0].name;d. a = document.getElementsByTagName(""BUTTON"")[1].attributes[0].name;","True","False","","yellow"
"150","Đề 2: (2020-2021)","True","False","00B050",""
"151","1. Đoạn mã <pre> 1 - 10 </pre> xuất ra trình duyệt là gì?a. 1-10b. 1 - 10 c. 1 10d. 1-10","True","False","auto","yellow"
"152","2. Tag nào dùng để tạo tiêu đề kích lớn nhất?a. <heading>b. <header>c. <h1> d. <h6>","True","False","auto","yellow"
"153","3. Để đánh dấu bookmark (liên kết trong) ta sử dụng cách nào sau đây?a. <a name=""tên_bookmark"">...</a>b. <p id=""tên_bookmark"">...</p>c. <a name=""#tên_bookmark"">...</a>d. Cả a và b","True","False","auto","yellow"
"154","4. Để mở liên kết trong một cửa sổ mới sử dụng thuộc tính?a. target=""_top""b. target=""_blank"" c. target=""_self""d. target=""_parent""","True","False","auto","yellow"
"155","5. Thuộc tính nào xác định tốc độ chuyển động của <marquee>?a. scrollamount b. behaviorc. directiond. loop","True","False","auto","yellow"
"156","6. Trong <table> sử dụng thẻ <th> nội dung sẽ tự động?a. Căn đều 2 bênb. Căn phảic. Căn giữa ô d. Tất cả đều sai","True","False","auto","yellow"
"157","7. Trong <table> canh chỉnh nội dung các ô theo chiều dọc là?a. alignb. valign c. halignd. text-align","True","False","auto","yellow"
"158","8. Trong <table> để nối (trộn) các ô theo chiều ngang dùng thuộc tính?a. colpan b. colspanc. rowpand. rowspan","True","False","auto","yellow"
"159","9. Thêm gì vào <input type=""text"" /> để có được gợi ý “Nhập số” như hình sau?","True","False","auto",""
"160","a. value=""Nhập số""b. comment=""Nhập số""c. hint=""Nhập số""d. placeholder=""Nhập số""","True","False","auto","yellow"
"161","10. Trong thẻ <input type=""text"" /> thuộc tính nào giới hạn số ký tự nhập vào?a. sizeb. widthc. maxlength d. value","True","False","auto","yellow"
"162","11. Cú pháp CSS nào được sử dụng để chuyển tất cả các thẻ <p> thành chữ in đậm?a. p {text-size:bold}b. p {font-weight:bold} c. style:boldd. p {font:bold}","True","False","auto","yellow"
"163","12. Thuộc tính nào của CSS không cho hình nền lặp lại?a. background-repeat: no-repeatb. image-repeatc. background-norepeatd. bgimage-repeat","True","False","auto","yellow"
"164","13. Lựa chọn thiết lập ảnh nền cố định?a. background-attachment: fixb. background-attachment: fixed c. background-attachment: scrolld. Tất cả đều sai","True","False","auto","yellow"
"165","14. CSS selector sau đây mang ý nghĩa gì?ul > li[class=""a""] { }","True","False","auto",""
"166","a. selector các thẻ li con gián tiếp của ul và có class là ab. selector các thẻ li con trực tiếp của ul và có class là a c. selector các thẻ li đồng cấp của ul và có class là ad. selector các thẻ li theo sau của ul và có class là a","True","False","auto","yellow"
"167","15. Thuộc tính và giá trị CSS nào dùng để chuyển tất cả các ký tự đầu chữ viết hoa?","True","False","auto",""
"168","a. text-transform: uppercaseb. text-transform: capitaliza c. text-transform: properd. Không thể làm được với CSS","True","False","auto","yellow"
"169","16. Khi sử dụng thuộc tính display: flex, thuộc tính nào đi kèm để xác định chiều của các item trực tiếp?","True","False","auto",""
"170","a. flex-direction b. flex-growc. flex-td. auto","True","False","auto","yellow"
"171","17. Để định dạng màu nền cho các ô thuộc dòng đầu tiên của table có id là tbl1, mã CSS nào đúng?","True","False","auto",""
"172","a. table tr {background-color:#F00;}b. #tbl1 tr:1 {background-color:#F00;} c. #tbl1 tr:first {background-color:#F00;}d. #tbl1 tr:first-child {background-color:#F00;}","True","False","auto","yellow"
"173","18. Nếu viết padding: 20px 50px 10px 30px thì padding-left là bao nhiêu?","True","False","auto",""
"174","a. 10pxb. 50pxc. 20pxd. 30px","True","False","auto","yellow"
"175","19. Giá trị nào của thuộc tính position cố định so với cửa sổ và không thay đổi khi scroll?","True","False","auto",""
"176","a. Absoluteb. Fixed c. Relatived. Static","True","False","auto","yellow"
"177","20. Chọn khai báo quan hệ Adjacent Sibling Selector giữa div và p?","True","False","auto",""
"178","a. div ~ pb. div > pc. div + p d. div * p","True","False","auto","yellow"
"179","21. JavaScript là ngôn ngữ dịch mà nguồn theo kiểu nào?","True","False","auto",""
"180","a. Biên dịchb. Thông dịch c. Cả biên dịch và thông dịchd. Không có dạng nào","True","False","auto","yellow"
"181","22. Hàm prompt(…) trong JavaScript dùng để làm gì?","True","False","auto",""
"182","a. Hiển thị một thông báob. Hiển thị một thông báo Yes, Noc. Hiển thị thông báo yêu cầu nhập thông tin d. Không phương án nào đúng","True","False","auto","yellow"
"183","23. Trong JavaScript biểu thức x === y có nghĩa là:","True","False","auto",""
"184","a. Cả x và y đều bằng nhau về giá trị, kiểu và địa chỉ tham chiếub. Cả hai đều là x và y chỉ bằng nhau về giá trịc. Cả hai đều bằng nhau về giá trị và kiểu dữ liệu d. Cả hai đều không giống nhau chút nào","True","False","auto","yellow"
"185","24. Trong JavaScript sự kiện Onblur thực hiện khi nào?","True","False","auto",""
"186","a. Khi một đối tượng trong form nhận focusb. Khi một đối tượng trong form mất focus c. Khi di chuyển con chuột qua formd. Khi di chuyển chuột vào nút lệnh","True","False","auto","yellow"
"187","25. Cách khai báo mảng nào trong JavaScript là đúng?","True","False","auto",""
"188","a. var colors = 1 = (""red""), 2 = (""green""), 3 = (""blue"")b. var colors = [""red"", ""green"", ""blue""] c. var colors = {1:""red"", 2:""green"", 3:""blue""}d. var colors = ""red"", ""green"", ""blue""","True","False","auto","yellow"
"189","26. Để kiểm tra nếu biến “i” không bằng 5, câu lệnh nào là đúng?","True","False","auto",""
"190","a. if (i <> 5)b. if i <> 5c. if (i != 5) d. if i ! 5 then","True","False","auto","yellow"
"191","27. Hàm nào trong JavaScript được sử dụng để chọn tất cả các đối tượng có class = “selector”?","True","False","auto",""
"192","a. querySelector()b. querySelectorAll() c. getElementByClass()d. Cả a, b, c đều sai","True","False","auto","yellow"
"193","28. Form có name=frm, để lấy giá trị phần tử trong form có name=n ra biến x, mã JavaScript là","True","False","auto",""
"194","a. x = document.frm.n.value;b. x = document.frm.n.value();c. x = document.getElementByName('n');d. x = document.getElementsByName('n').value;","True","False","auto","yellow"
"195","29. Tìm phần tử đầu tiên <p> và thay đổi giá trị của phần tử đó thành ""Hello"", mã JavaScript là","True","False","auto",""
"196","a. document.getElementsByTagName('p')[0].innerHTML = 'Hello';b. document.getElementsByTagName('p')[0].innerHTML = “Hello”;","True","False","auto","yellow"
"197","c. document.getElementsByTagName('p')[1].innerHTML = 'Hello'; d. document.getElementsTagName('p')[0].innerText = 'Hello';","True","False","auto",""
"198","30. Để lấy giá trị tên thuộc tính đầu tiên của phần tử (nút) Button thứ 2 biến a, mã JavaScript là","True","False","auto",""
"199","a. a = document.getElementsByTagName(""BUTTON"")[0].attributes[0].name;b. a = document.getElementsByTagName(""BUTTON"")[1].attributes[0].name;c. a = document.getElementsByName(""BUTTON"")[0].attributes[0].name; (sai do dùng getElementsByName)d. a = document.getElementsByName(""BUTTON"")[0].attributes[1].name;","True","False","auto","yellow"
"200","31. Để đổi màu chữ của phần tử có name=n thành red, mã JavaScript là","True","False","auto",""
"201","a. document.getElementsByName('n').color = 'red';b. document.getElementsByName('n').add.color = 'red';c. document.getElementsByName('n')[0].style.color = 'red';d. document.getElementsByName('n').css.color = 'red';","True","False","auto","yellow"
"202","32. Để ẩn phần tử có id=txt, mã JavaScript là","True","False","auto",""
"203","a. document.getElementById('txt').display = 'none';b. document.getElementById('txt').css.display = 'none';c. document.getElementById('txt').style.display = 'none';d. document.getElementById('txt').style.display = 'hide';","True","False","auto","yellow"
"204","33. Để đổi kích thước chữ của phần tử có id=txt thành 60px, mã JavaScript là","True","False","auto",""
"205","a. document.getElementById('txt').css.fontSize = '60px';b. document.getElementById('txt').style.fontSize = '60px'; c. document.getElementById('txt').style.Style = '60px';d. document.getElementById('txt').fontSize = '60px';","True","False","auto","yellow"
"206","34. Cho mảng arr = ['aa','bb','cc','dd']; để xoá 'bb' và 'cc' mã JavaScript là","True","False","auto",""
"207","a. arr.splice(1,1); b. arr.splice(1,3); c. arr.splice(2,3); d. arr.splice(1,2);","True","False","auto","yellow"
"208","35. Để xoá phần tử thứ 2 có class là class1 bằng jQuery là:a. $('.class1')[0].remove();b. $('#class1')[0].remove();c. $('.class1')[1].remove();d. $('#class1')[1].remove();","True","False","auto","yellow"
"209","Đề 3:","True","False","00B050",""
"210","Câu hỏi 1: Giá trị mặc định của thuộc tính float trong CSS là gì?","False","False","",""
"211","a. let","False","False","",""
"212","b. right","False","False","",""
"213","c. none","True","False","","yellow"
"214","d. inherit","False","False","",""
"215","Câu hỏi 2: Khi một phần tử con được float, phần tử cha của nó sẽ:","False","False","",""
"216","a. Tự động điều chỉnh chiều cao để bao gồm phần tử con float","False","False","",""
"217","b. Không bao gồm phần tử con float trong chiều cao của nó","True","False","","yellow"
"218","c. Trở thành vị trí tương đối","False","False","",""
"219","d. Trở thành vị trí tuyệt đối","False","False","",""
"220","Câu hỏi 3: Thuộc tính nào được sử dụng để thay đổi khoảng cách giữa các ký tự trong CSS?","False","False","",""
"221","a. letter-spacing","True","False","","yellow"
"222","b. character-spacing","False","False","",""
"223","c. text-spacing","False","False","",""
"224","d. word-spacing","False","False","",""
"225","Câu hỏi 4: Thuộc tính CSS nào sau đây có thể được sử dụng để thiết lập một phần tử cố định ở góc dưới cùng bên phải của cửa sổ trình duyệt?","False","False","",""
"226","a. position: fixed; bottom: 0; right: 0;","True","False","","yellow"
"227","b. position: absolute; bottom: 0; right: 0;","False","False","",""
"228","c. position: static; bottom: 0; right: 0;","False","False","",""
"229","d. position: relative; bottom: 0; right: 0;","False","False","",""
"230","Câu hỏi 5: Thuộc tính CSS nào được sử dụng để ẩn một phần tử?","False","False","",""
"231","a. display: none;","True","False","","yellow"
"232","b. display: hidden;","False","False","",""
"233","c. visibility: hidden;","False","False","",""
"234","d. visibility: none;","False","False","",""
"235","Câu hỏi 6: Selector nào chọn tất cả các phần tử có class là ""example""?","False","False","",""
"236","a. *example","False","False","",""
"237","b. #example","False","False","",""
"238","c. example","False","False","",""
"239","d. .example","True","False","","yellow"
"240","Câu hỏi 7: Selector nào chọn tất cả các phần tử <p> mà là phần tử đầu tiên con của phần tử cha?","False","False","",""
"241","a. p:first-child","True","False","","yellow"
"242","b. p:first-of-type","False","False","",""
"243","c. p:only-child","False","False","",""
"244","d. p:last-child","False","False","",""
"245","Câu hỏi 8: Selector nào dưới đây để chọn phần tử <li> ở vị trí lẻ trong một danh sách?","False","False","",""
"246","a. li:nth-child(even)","False","False","",""
"247","b. li:nth-of-type(odd)","False","False","",""
"248","c. li:nth-child(odd)","True","False","","yellow"
"249","d. li:odd-child","False","False","",""
"250","Câu hỏi 9: Khi một phần tử thuộc tính position: fixed;, phần tử đó sẽ:","False","False","",""
"251","a. Di chuyển cùng với trang khi cuộn.","False","False","",""
"252","b. Vẫn luôn ở cùng vị trí trong cửa sổ trình duyệt khi cuộn trang.","True","False","","yellow"
"253","c. Được đặt tương đối so với phần tử con gần nhất có thuộc tính position.","False","False","",""
"254","d. Được đặt tương đối so với phần tử cha gần nhất.","False","False","",""
"255","Câu hỏi 10: Để ngăn chặn các phần tử bị bao quanh một phần tử đã được float, ta sử dụng thuộc tính nào?","False","False","",""
"256","a. clear","True","False","","yellow"
"257","b. float","False","False","",""
"258","c. overflow","False","False","",""
"259","d. display","False","False","",""
"260","Câu hỏi 11: Responsive Web Design (RWD) là gì?","False","False","",""
"261","a. Một kỹ thuật lập trình chỉ áp dụng cho máy tính cá nhân","False","False","",""
"262","b. Một phương pháp thiết kế web để tạo ra trang web hiển thị tốt trên nhiều thiết bị và kích thước màn hình khác nhau","True","False","","yellow"
"263","c. Một loại kiến trúc mạng để tăng tốc độ tải trang web","False","False","",""
"264","d. Một loại hình quảng cáo trên mạng Internet","False","False","",""
"265","Câu hỏi 12: Câu lệnh @media nào dưới đây áp dụng các quy tắc CSS khi chỉ chiều rộng của thiết bị nhỏ hơn hoặc bằng 600px?","False","False","",""
"266","a. @media screen and (max-width: 600px) { ... }","True","False","","yellow"
"267","b. @media screen and (min-width: 600px) { ... }","False","False","",""
"268","c. @media screen and (max-height: 600px) { ... }","False","False","",""
"269","d. @media screen and (min-height: 600px) { ... }","False","False","",""
"270","Câu hỏi 13: Media query nào dưới đây áp dụng các quy tắc CSS khi chiều cao của cửa sổ trình duyệt ít nhất là 400px và chiều rộng nhỏ hơn hoặc bằng 600px?","False","False","",""
"271","a. @media screen and (min-height: 400px) and (max-width: 600px) { ... }","True","False","","yellow"
"272","b. @media screen and (height: 400px) and (width: 600px) { ... }","False","False","",""
"273","c. @media screen and (min-height: 400px) and (width: 600px) { ... }","False","False","",""
"274","d. @media screen and (height: 400px) and (max-width: 600px) { ... }","False","False","",""
"275","Câu hỏi 14: Thuộc tính CSS nào được sử dụng để xác định tỷ lệ mà một phần tử con sẽ mở rộng trong container Flexbox?","False","False","",""
"276","a. flex-grow","True","False","","yellow"
"277","b. flex-shrink","False","False","",""
"278","c. flex-basis","False","False","",""
"279","d. flex","False","False","",""
"280","Câu hỏi 15: Thuộc tính flex-shrink được sử dụng để xác định điều gì về phần tử con trong container Flexbox?","False","False","",""
"281","a. Tỷ lệ mở rộng","False","False","",""
"282","b. Tỷ lệ co lại","True","False","","yellow"
"283","c. Tỷ lệ không gian trống","False","False","",""
"284","d. Tỷ lệ phân trăm","False","False","",""
"285","Câu hỏi 16: Trong JavaScript, từ khóa nào được sử dụng để khai báo một biến không thể thay đổi giá trị sau khi đã được gán giá trị?","False","False","",""
"286","a. let","False","False","",""
"287","b. var","False","False","",""
"288","c. const","True","False","","yellow"
"289","d. static","False","False","",""
"290","Câu hỏi 17: Kết quả của biểu thức 2 + ""2"" trong JavaScript là gì?","False","False","",""
"291","a. 4","False","False","",""
"292","b. ""22""","True","False","","yellow"
"293","c. NaN","False","False","",""
"294","d. undefined","False","False","",""
"295","Câu hỏi 18: Kết quả biến x là gì? var x = parseInt(""12.5A"") + parseFloat(""12.4A"");","False","False","",""
"296","a. 24.9","False","False","",""
"297","b. 24.5","True","False","","yellow"
"298","c. 24.9","False","False","",""
"299","d. ""125124""","False","False","",""
"300","Câu hỏi 19: Đoạn mã nào có nhiệm vụ tạo đối tượng trong JavaScript?","False","False","",""
"301","a. conts dog = {};","False","False","",""
"302","b. conts dog = new Object();","False","False","",""
"303","c. conts dog = Object.create({});","False","False","",""
"304","d. Tất cả đều đúng","True","False","","yellow"
"305","Câu hỏi 20: Trong JavaScript, biểu thức x=== y có nghĩa là:","False","False","",""
"306","a. Cả hai chỉ bằng nhau về giá trị, kiểu và địa chỉ tham chiếu.","False","False","",""
"307","b. Cả hai chỉ bằng nhau về giá trị.","False","False","",""
"308","c. Cả hai đều bằng nhau về giá trị và kiểu dữ liệu.","True","False","","yellow"
"309","d. Cả hai đều không giống nhau chút nào.","False","False","",""
"310","Câu hỏi 21: Lệnh x = 10; x2 = ""5""; alert(s1 * s2); kết quả trên hộp thoại alert là:","False","False","",""
"311","a. 10*5","False","False","",""
"312","b. 50","False","False","",""
"313","c. Lỗi","True","False","","yellow"
"314","d. Tất cả đều sai","False","False","",""
"315","Câu hỏi 22: Cho đoạn mã javascript như sau:","False","False","",""
"316","var s = "" Đại học Công Nghệ Sài Gòn "";","False","False","",""
"317","s = s.trim();","False","False","",""
"318","var kq = s.split("" "");","False","False","",""
"319","Kết quả kq[2] của đoạn mã trên:","False","False","",""
"320","a. Đại","False","False","",""
"321","b. Nghệ","False","False","",""
"322","c. Công","True","False","","yellow"
"323","d. Sài","False","False","",""
"324","Câu hỏi 23: Kết quả của đoạn mã javascript dưới đây:","False","False","",""
"325","let person1 = {name: 'An'};","False","False","",""
"326","let person2 = person1;","False","False","",""
"327","person2.name = 'Bình';","False","False","",""
"328","console.log(person1.name);","False","False","",""
"329","a. 'An'","False","False","",""
"330","b. 'Bình'","True","False","","yellow"
"331","c. undefined","False","False","",""
"332","d. error","False","False","",""
"333","Câu hỏi 24: Kết quả của đoạn mã dưới đây là gì?","False","False","",""
"334","var array = [10, 20, 30, 40, 50];","False","False","",""
"335","var part = array.slice(1, 4);","False","False","",""
"336","console.log(part);","False","False","",""
"337","a. [10, 20, 30, 40, 50]","False","False","",""
"338","b. [20, 30, 40]","True","False","","yellow"
"339","c. [30, 40, 50]","False","False","",""
"340","d. [20, 30, 40, 50]","False","False","",""
"341","Câu hỏi 25: Nếu hiện tại thiết lập trên máy tính là thứ Tư ngày 19/6/2024, kết quả hộp thoại alert là gì sau lệnh:","False","False","",""
"342","let d = new Date();","False","False","",""
"343","alert(d.getDay());?","False","False","",""
"344","a. 4","False","False","",""
"345","b. 3","True","False","","yellow"
"346","c. Wed","False","False","",""
"347","d. 19","False","False","",""
"348","Câu hỏi 26: Câu lệnh nào để thay đổi nội dung thẻ div thành ""abc"" :","False","False","",""
"349","<div id=""id1""></div>","False","False","",""
"350","a. document.getElementById('id1').innerHTML=""abc"";","True","False","","yellow"
"351","b. document.getElementsById('id1').innerHTML=""abc"";","False","False","",""
"352","c. document.getElementByTagName('div').innerHTML=""abc"";","False","False","",""
"353","d. document.getElementByTagName('div').innerHTML=""abc"";","False","False","",""
"354","Câu hỏi 27: Để xóa toàn bộ nội dung trang web, dùng lệnh Javascript nào?","False","False","",""
"355","a. document.body.innerHTML="""";","True","False","","yellow"
"356","b. document.getElementsByTagName('body')[0].innerHTML="";","False","False","",""
"357","c. Cả hai a, b đều sai","False","False","",""
"358","d. Cả hai a, b đều đúng","False","False","",""
"359","Câu hỏi 28: Thay đổi thẻ div#id1 sử dụng class c2 là:","False","False","",""
"360","a. document.getElementById('id1').className='c2'","True","False","","yellow"
